Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Image
1,690-005-299-043,EDAC Inc.,CONN RCPT USB2.0 MINI B SMD R/A,"82,886",In Stock,,1,1,Cut Tape (CT),151-1206-1-ND,0.65000,$0.65,1,X1,151-1206-1-ND,18,http://files.edac.net/edac/content/1/690-005-299-043.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8536.69.4040,China,https://edac.net/download/certificate/479219,151-1206-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/413/690-005-299-043.jpg
2,CC0805KKX5R5BB105,YAGEO,CAP CER 1UF 6.3V X5R 0805,"9,191",In Stock,,1,1,Cut Tape (CT),311-3417-1-ND,0.17000,$0.17,1,C5,311-3417-1-ND,16,https://www.yageo.com/upload/media/product/app/datasheet/mlcc/upy-gphc_x5r_4v-to-50v.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.24.0020,Taiwan,,311-3417-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2485/0805(8^5mm thickness).jpg
3,RC0805FR-071ML,YAGEO,RES 1M OHM 1% 1/8W 0805,"564,002",In Stock,,1,1,Cut Tape (CT),311-1.00MCRCT-ND,0.10000,$0.10,1,R11,311-1.00MCRCT-ND,18,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rc_group_51_rohs_l.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageo.com/en/Download/Index/certificates#rchip,311-1.00MCRCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0805-%282012-metric%29.jpg
4,SM04B-SRSS-TB,JST Sales America Inc.,CONN HEADER SMD R/A 4POS 1MM,"142,146",In Stock,,1,1,Cut Tape (CT),455-SM04B-SRSS-TBCT-ND,0.60000,$0.60,1,J2,455-1804-1-ND,16,https://www.jst-mfg.com/product/pdf/eng/eSH.pdf,,-,,Active,RoHS non-compliant,1  (Unlimited),EAR99,8536.69.4040,China,,455-1804-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/826/SM04B-SRSS-TB%28LF%29%28SN%29.jpg
5,C0805C104K9RAC7800,KEMET,CAP CER 0.1UF 6.3V X7R 0805,"60,082",In Stock,,2,2,Cut Tape (CT),399-C0805C104K9RAC7800CT-ND,0.19000,$0.38,1,"C3,6",399-C0805C104K9RAC7800CT-ND,19,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C0805C104K9RACTU,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.24.0020,Taiwan,,399-C0805C104K9RAC7800CT-ND,"https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/423/0805-(2012-Metric)-2,00x1,20x1,00mm.jpg"
6,VJ0805A220GXQCW1BC,Vishay Vitramon,CAP CER 22PF 10V C0G/NP0 0805,"3,165",In Stock,,2,2,Cut Tape (CT),720-VJ0805A220GXQCW1BCCT-ND,0.25000,$0.50,1,"C7,8",720-VJ0805A220GXQCW1BCCT-ND,22,https://www.vishay.com/docs/28548/vjw1bcbascomseries.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.24.0020,China,,720-VJ0805A220GXQCW1BCCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4199/MFG_VJ0805Vseries.jpg
7,ATMEGA32U4-AU,Microchip Technology,IC MCU 8BIT 32KB FLASH 44TQFP,"18,800",In Stock,,1,1,Tray,ATMEGA32U4-AU-ND,5.29000,$5.29,1,ATMEGA-U3,ATMEGA32U4-AU-ND,9,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Summary.pdf,,-,,Active,ROHS3 Compliant,3  (168 Hours),EAR99,8542.31.0001,Thailand,https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Semiconductor_Prop_65_Statement.pdf|https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Microchip_REACH_Statement.pdf|https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Semiconductor_EnvCoC.pdf,ATMEGA32U4-AU-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4230/150~44A~A~44.JPG
8,CR0805-FX-22R0ELF,Bourns Inc.,RES SMD 22 OHM 1% 1/8W 0805,"24,843",In Stock,,2,2,Cut Tape (CT),CR0805-FX-22R0ELFCT-ND,0.10000,$0.20,1,"R7,8",CR0805-FX-22R0ELFCT-ND,15,https://www.bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_14,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.bourns.com/docs/rohs-content/bourns-reach-letter.pdf|https://www.bourns.com/docs/Product-MDS/cr0805_mds.pdf|https://www.bourns.com/docs/rohs-cofc/crx_coc.pdf?sfvrsn=db3a74f6_10,CR0805-FX-22R0ELFCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/505/CR0805-(2012-Metric).jpg
9,TPS27081ADDCR,Texas Instruments,IC PWR SWITCH 1:1 TSOT23-6,"19,097",In Stock,,1,1,Cut Tape (CT),296-34970-1-ND,0.90000,$0.90,1,U4,296-34970-1-ND,6,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps27081a,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8542.39.0001,China,,296-34970-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4898/296_SOT23-5.jpg
10,PPTC072LFBN-RC,Sullins Connector Solutions,CONN HDR 14POS 0.1 TIN PCB,"7,888",In Stock,,1,1,Tray,S7075-ND,0.94000,$0.94,1,LPC,S7075-ND,11,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8536.69.4040,Taiwan,https://www.sullinscorp.com/wp-content/uploads/2021/08/Sullins-REACH-219-SVHC-Compliant-Statement.pdf|https://www.sullinscorp.com/wp-content/uploads/2019/03/Sullins-RoHS-Compliant-Statement.pdf,S7075-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1007/PPTC072LFBN-RC.jpg
11,TSX-3225 16.0000MF09Z-AC0,EPSON,CRYSTAL 16.0000MHZ 9PF SMD,"137,947",In Stock,,1,1,Cut Tape (CT),SER4069CT-ND,0.42000,$0.42,1,X2,SER4069CT-ND,18,https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8541.60.0050,Thailand,https://support.epson.biz/td/api/doc_check.php?dl=reach_TSX-3225&lang=en|https://support.epson.biz/td/api/doc_check.php?dl=rohs_TSX-3225&lang=en,SER4069CT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2579/TSX-3225 26^0000MF09Z-AC3.jpg
12,IRLML6246TRPBF,Infineon Technologies,MOSFET N-CH 20V 4.1A SOT23,"257,901",In Stock,,4,4,Cut Tape (CT),IRLML6246TRPBFCT-ND,0.48000,$1.92,1,"Q1,2,3,4",IRLML6246TRPBFCT-ND,12,https://www.infineon.com/dgdl/irlml6246pbf.pdf?fileId=5546d462533600a40153566878f22621,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8541.29.0095,Taiwan,https://www.cypress.com/file/199231/download,IRLML6246TRPBFCT-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/417_SOT-23-3.jpg
13,CL10B104KB8NNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 50V X7R 0603,"5,649,787",In Stock,,2,2,Cut Tape (CT),1276-1000-1-ND,0.10000,$0.20,1,"C1,2",1276-1000-1-ND,22,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL10B104KB8NNNC_Spec.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.24.0020,Philippines,https://www.samsungsem.com/files/fileDown.do?key=ed1dfdfa-645e-4252-b707-17f9b1502dd1|https://www.samsungsem.com/global/support/certificate/product-stewardship.do,1276-1000-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2537/Ceramic-Capacitor-CL-Series.jpg
14,JMK107ABJ106MA-T,Taiyo Yuden,CAP CER 10UF 6.3V X5R 0603,"1,948,028",In Stock,,1,1,Cut Tape (CT),587-5869-1-ND,0.11000,$0.11,1,C4,587-5869-1-ND,49,https://www.yuden.co.jp/productdata/catalog/mlcc06_e.pdf,,May apply on shipments to the U.S.,,Not For New Designs,ROHS3 Compliant,1  (Unlimited),EAR99,8532.24.0020,China,,587-5869-1-ND,"https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/587_0603-(1608-Metric)-0,95mm.jpg"
15,SM10B-SRSS-TB,JST Sales America Inc.,CONN HEADER SMD R/A 10POS 1MM,421,In Stock,,1,1,Cut Tape (CT),455-SM10B-SRSS-TBCT-ND,1.05000,$1.05,1,J1,455-1810-1-ND,16,https://www.jst-mfg.com/product/pdf/eng/eSH.pdf,,-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8536.69.4040,China,,455-1810-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1049/SM10B-SRSS-TB%28LF%29%28SN%29.JPG
16,19-237/R6GHBHC-A07/2T,Everlight Electronics Co Ltd,LED RGB CLEAR 4SMD,"7,064",In Stock,,1,1,Cut Tape (CT),1080-1590-1-ND,0.92000,$0.92,1,LED1,1080-1590-1-ND,14,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/906/19-237-R6GHBHC-A07-2T.pdf,,-,,Active,ROHS3 Compliant,2  (1 Year),EAR99,8541.41.0000,Taiwan,,1080-1590-1-ND,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/919/MFG_19-22SURSYGCS530-A3E2TR8.jpg
